address, symmAmount
0x8a1e24491a2b76e94f69bd9f980d0fbb8c3b75bf, 989557.405962035
0xa6a2ad1320cec227f24f404fccc120b71b41757d, 1249148.60412588
0x9a82aa6edbc473a883b8906bf41084c9c1b760f2, 963205.602162162
0xfe202706e36f31afbaf4b4543c2a8bba4ddb2dee, 947926.872712623
0xacc43b5c8e2ed12d374e74cd91bc576fbcb9ee23, 994738.381194483
0xb9095b98bbd01a93c395cb2e48e4cc256d05ef8b, 938063.887400055
0x2c8cddb4ed5aa7d28fcfcc75313de4286e0b5e32, 1417315.56737915
0x1a0f3ff515f8a0d353ed7b0eed6292c7560d221e, 1286379.47735285
0xabbf75a59ac8838fa46bd5260501b68ab28b95f6, 1782451.27576207
0x43d4cf2fbb008fce9548d94a35c3f318a4940055, 890965.182
0x2eef4219055fd3c514ba7b50316f1c3965a53751, 1781930.364
0x8a42c32e61242b8c7a69c34762f35e5142a016f8, 865095.291124591
0xfe6e29c244dc1d06c26033ffd056e0f81224b64a, 859588.022291681
0xa05e21550eb86462388783047da318d2de20bbda, 856301.244383661
0x1255e17fff07322231a4124bb455c85d20d0a2c4, 822591.631330673
0x85312d6a50928f3ffc7a192444601e6e04a428a2, 825762.616543504
0x0c13f7c69f1b3d05c0a007e29f03b4d948b0859d, 810778.31562
0x0fcfe3c0d30b88b9b06f85db087439c524369e51, 812040.864239204
0x9f9692fff5ce2c81737f62bcca101a7a7bc31c46, 1240011.63833945
0x9ebc0b1bccb2c2412b661510f2b2e67828347f0c, 1150045.38239121
0x68c3cb93a893a893953d654faa9d2dc15edccdcf, 924910.89724394
0x98ed1eae1836fa93a20fa389fc386ba75bd07d5b, 1034352.03980996
0x7f965552c63da3ee12eddf79aa74b3ea6be16d2d, 771893.165570808
0x17561e4a5e16e619e049e3a61a64f2a2564859f8, 1047959.53647377
0x1012e83da77e283910d00e9dc1af5b103d62db12, 751185.364521865
0xf712ab8c4505eb4b36a2ff9fa746470be81e6538, 1816066.01010921
0xe139040aeb075c3f0bed81bb66f567b5af19cae1, 734285.022391112
0xbe7019f8333b0b3cfc707ac353ebc2123140134c, 1683114.57715964
0xcbd6b0dee49eea88a3343ff4e5a2423586b4c1d6, 1118986.05269975
0xedf5025c84231784293970a5b8a1ac9d29f9b758, 838528.252852526
0x4f00a16d909e3c9df5b5e7be30b2af0b0e67c5a3, 682264.633718541
0xf93d4ec4cadec63a68fe13ad5bb1abed44ebb81c, 682204.874968168
0x63b0a55c72ebebeaa528fe28e7971c6195c7469b, 679668.396700197
0x9ce6e6b60c894d1df9bc3d9d6cc969b79fb176b7, 661556.37305984
0x48e87c81a1aece2a39b4facd8efdc3fcd63c636c, 661169.132636506
0x59d274ba41a55827062e2e4ad115d8ff758f391b, 636427.962333446
0xdf46bfa73936458e4bc90e3d1a1cb60af7e55672, 713693.409719054
0x4747617ce6a6094bcb67f3c18039ab233b6e1164, 630852.926292219
0x56ae42256f47d488f74efe18089ec1e83f0ab9d8, 630513.3176
0x825736e7336232cc595c345d049474226fdd154e, 849319.283115224
0x9c1dcb699e6af3ae59b7219e5ea7fef6d9fcf9c3, 630017.281930038
0x589ffaeab4a99275660a9fa4274cb58f7329f4df, 718064.572985845
0xb02dc413e90867f035fa6d29fb54a1e9ab7b274b, 808848.500376057
0x4bba887158645192dac8abea73d6aaebab2b3b13, 719166.741963428
0x77eeaf07c050a690f9b3c2e8e7642cc3cbeceeb4, 591741.047574191
0xe85fea97723d9a67a9cb4bc3e58ffdd6dc3a78af, 705890.078642331
0x0ff51f912eea28b6195c2db43e0e90ba905b5b42, 575670.870779099
0x7495f82f53f151decf4fe96eabae4f395ae3e2c8, 964094.888020863
0xcac88c05aca7456faca8a4f0a472ed00a2136d9e, 542444.159406365
0x39f9bc86f9fd445403fe1698708e76e86078ff23, 788535.7178235
0xe7b80338fe1645af7e6e1d160f538e04241b9288, 537548.110387501
0x2d9039cbe219420ab16d31bcb7a37b395f0ce394, 530980.13911727
0x94db83f9934adbbf5966a30e55b83e6635c745c5, 627888.80591549
0x560d03f2b20e9047714fea87cc113d95a3fc7179, 521831.179375944
0xa6e14452bac0d4cb25f788f1de0af7deca87f514, 757495.468419201
0x5eadda0d4c686978982a633fb06910f5a2fccfbe, 516217.888693396
0x004ab0f6171ff2d5cb44b6d50cf8eb2edc56105d, 574967.493164746
0x27107dd841ea4fd7535c9f7905be3a5d0cad374d, 611195.538087113
0x14b8bffef5d546727df9a4357e69c49907656179, 506092.479974403
0xba0bd4fe75d076ef758131bcc15f435c45ecb227, 758675.218280212
0x219ee0c53d8d8cda8700647b1e2a58896a4dc5f1, 531910.933174778
0x8a70b9fefd03d8c54877bc26203a87f253266fc8, 493968.051991219
0x1a6e210dcdef318ca8c11aaaab7e305e49eb0e7d, 481602.802332702
0x5aaacedf5a180e084d5ebac2e55ea484cf0d2780, 473501.970824181
0x5d77392dd7ac01af37639ea303fa44e980c83f79, 890286.798556875
0xdadef83811243471424558e8d48b85bfcddaba2f, 463054.63915407
0x19799f272574079a8dd591c13f7aed0d2f7aa011, 453397.890645278
0xabc3b8a22b766b9c5bbe73724d2f35f81359e72a, 451850.558030743
0x88d71c6c9a83c56d5742d82536bccc3cd5348046, 451038.806515399
0x170a426c949caf6248df60a9b412eb3df9d32484, 784547.951445458
0x19dfdc194bb5cf599af78b1967dbb3783c590720, 710321.648576319
0x4463e9a525b0a851faa6398b16756f43e64a36c3, 522120.393481051
0x6cf51fdef74d02296017a1129086ee9c3477dc01, 445482.591
0xd8855738cf546c6950fe0abfa72cd4a98103f0c2, 426368.158866578
0xd94ae278e5907aa734bb895a3729aef074103891, 477869.892010401
0xb9d1a4528ece05d7451a1e8f42f60c93a390e350, 676579.309957573
0x103a1f94bc38313af8724777da71201e40adef5a, 439976.876983184
0x31345e8a872c5a34e6264b1c2ad3fc8d13a0734e, 413696.634323659
0x82ab77185a80a5b74c92d679a02b28b115f21962, 412625.036202339
0xe49f9c282fe9c9bec52905cf11fbb93a59568fd9, 408997.806879883
0xf2c9c2ebaebfc38f76d825b09a91aeec477f4fcf, 408524.655227879
0x25e668e561f617845f044267ad0dbbdc9aa36c6c, 404058.918438366
0xde698282e354705d609c0bc9067174160b3dd5e2, 402831.636613292
0x7b230f8235f3e3b14aefd3ed657479e8ffd931a7, 399999.999567784
0xead67d6463cc332507c4b321b022e84e5fbcac97, 394070.8235
0x5e7a0afc7e3c32f844114d3cb375ab0c456a57ae, 656144.184151588
0x4815ee939fe2efec2f7bc415f0ce2282f6417fe9, 608189.858368111
0x6720ddf5cd112a57ea30f1f16b70f6f213af71e8, 745302.164760285
0xda4c20bb77eea27a47d27adabf2071328d93a67a, 625852.447494357
0x76c2cd1b8a249f465f8445c455cb78e0eed36f1e, 952219.785561022
0xb3a81311c3a178928cf96f5092d627a259dc5ad5, 472738.781572884
0x73422a2722066c1750cb9fcbf79cabf1f08f9bf4, 523780.22843784
0x14da174fab1356466af2dd0ecdf94204e828a732, 427637.202323369
0x9a499155e6d5f6a8722876a5ad0c4a47b3322c87, 352593.884573187
0xaee5cb72da840cf679ebec780e31295b6bfc746d, 349572.71298935
0x2e15d7aa0650de1009710fdd45c3468d75ae1392, 348984.249571466
0x7aaf6b8506f030f0dac415d03c87e89dc891eeed, 347917.941730005
0x26563eedb269448352ba0663f2ee554fbd389296, 346517.557353939
0xdbc35cce779e29fb71799137f632b3f6f7f46573, 344627.947101598
0x70a13e91621a580bc6773e8d27dff896ba6d76d3, 957837.6192462
0xf2978b5dabb93964410fb0394c07f144706a2df7, 341409.640004393
0xa8b4c7f8b3d91b324f815252da74884e68fb4c4c, 340061.331298434
0x49e59de5dbf06ed83116afaa0570bfe13a8d5ba7, 512137.545758969
0x66cc649d9218bd1ca46373fedd6041bcffb93640, 338207.957378469
0xa7195c71aa20481fa0c093e51323f8a4d3a2f5d2, 559344.030712416
0x5c533d8bf5f06a36fa8996c81fccc30fbd04a9fc, 337902.24986877
0x7569ff833ff6c5fdbb58934862a08281828673ea, 334448.411018053
0x818854b363b90791a9ebc29e2f9c7f1055ee5a4d, 331019.49174
0xebecc0a1eb0a05f3ce7100f20ec6b97cb93f0965, 590134.808313228
0x933258bddd49beeca77f6d1889633c5429af45ea, 323808.443568325
0xbba2379f5cc9a2f248c5cf18ad72379ae2478f42, 1752446.65512717
0x14ed950929c02124ee464e930070614a65316fdb, 321561.156042511
0x984f47fec079d3349bb3abdf05e40720e1c2d968, 349770.75131747
0x9aae12dd452f78ae8919c2168717e7348392ad11, 828995.425052119
0x0423275d2ac0a164b91cf8f14bce45fd6898f563, 318665.376501918
0x7da220633dfaa2dd4ef3e3b222e836a2e23a496b, 320955.363516769
0x19db2dea42083d3b30eb89b1c30ac5a7b91de42b, 310921.8797415
0x48be343c86e5d2233e874b23dbf123b0c2f80857, 309016.495608426
0x1e2cc37406f868b3d481170248e8ab2fb0181644, 302977.608468911
0xe39516c6ecb2c94e181fb5b6822d70278fc76545, 398691.210899613
0x0de4348c28c4e9ef19d5faf4024ef6653c326ec8, 320981.335732241
0x24a7e2f78c3ac4181996e415f7dbea1a71994952, 306039.47746135
0xae3d9aba194740091edbefc8619a90abacde8fc3, 292702.795221782
0x16ce1b15ed1278921d7cae34bf60a81227cfc295, 299470.473236215
0x5b3067c5e26fec823d6fbf8f315e43632658d2f6, 642155.349744971
0x54b325783095132a996027a622a5b4cadc8be876, 564380.070981162
0xcb966829e34f1b376715471398ba3e1fa50681c2, 678455.426649075
0x4e53433495619613251ed5d9360d205a3b87d047, 480828.382348961
0x54207bdd0b6b1daa5bd98c0c8c2ebdef65f63a3b, 1423809.59405403
0xa9abe4e7cc5aaff81bc02f39d5f2b56a8094c9c3, 279064.873902805
0x064c3bf2b2a26062ac038b95aa2b223cc8968040, 274856.245601761
0x3a92b4bf4f6528dd12f8b0feb4e91768f65be781, 273255.515945863
0x64d1d62ce19332b7d247b82116b50d6896a0a64f, 271717.115482142
0x88ce30f11723e38ffafa91a22462e57222433467, 270151.838977166
0x1393d846210262af69a29587aed52c24b0ae6223, 35110.8549935905
0xe0e4bff7ed1cd39dfb4310eebf078187586526c8, 264620.359555701
0x42e4d76f5b78eab5fc07098fe4b5c35102b5f4a6, 885469.21164
0x74fc147dcacdf2680c3219c80191121f2ef2258b, 334280.348462339
0x3523481702186c04740e50396d0e1c807ce36c57, 417816.780717318
0x083e952464b4a8e988abe39868a652f9c2ad050e, 258383.470211896
0x06ad2f93b61eb355e6e27d9eb8c67ef8eccfa50e, 257744.231931626
0x83b285e802d76055169b1c5e3bf21702b85b89cb, 295444.0543512
0x836e71f16a53577edd2ea377a8ab29a90ae0cdc0, 480292.782995927
0x97af0f60c1894bf63b440300ddf6b18102f22341, 247938.410394287
0xd6339759848e5cef0a90fb6bc3406a62315739c6, 247077.247023253
0x459e634907e0722c7145ef56765fbcd924e86303, 253486.40901955
0x1d5156bedd77567e2246ef3b77451b145c77a347, 245164.265399422
0x5be138179a1516e24cb13ec34112a9c4dab7b384, 1232364.13552329
0x6ed88188da646b6fe64022895de4045c35eba48e, 271369.474886942
0x6a1dc2f320ab982637dc4b67de1c0cfc4ad988b1, 241246.159515987
0x843fb684d6767473965bec92c211c6de690f4b27, 240043.849815487
0x353d566af2b571f6ade5cc9f7a91422f6f738098, 253204.333560204
0xce29cec7552ab3c9cf5264ed96081c2804c3ef07, 353050.780342677
0xe175c44341736349fcb4c1498eb27d77b96d7bb3, 235225.826606297
0xf90a71d46db26a7a3edcee7ee2c93a10e79eb5cd, 283940.177777921
0x1ec9ce39b453ff37bf21ad441fc4060efa90c4d4, 230552.147854959
0x71b700181b31747f28a7cde2c26b503a2335c0ad, 230169.069180075
0xf38b07b8ac72ad70806e902c2ecfb7edd36ca3f5, 243735.07676293
0xa6a2d935363669ea08723798284bc3fcdc58f9cd, 285959.761616109
0x109cbdcf9e4f6cb9ea56c810bc26f06f8b1f399f, 230364.467020752
0xdbbe2bb7be24319808e01ddf1ddd9276ad2556f3, 224423.936869686
0xe939d186c9da1f3640a8a53a3df9deb643021ffe, 259894.126848459
0xe9a4ab491942160cc1f42449911d0e3dd5222436, 292871.982409941
0x1cc3a9b765199bb1bea3cba45b4a203c55ec4e1a, 218612.557098768
0x2c42346820795917e7d11579affa976b5a571573, 230175.428248143
0x8577f44ab55c0b1167031ed26c20a4dbe26868dd, 216815.179537414
0xc2dc013edd48afdcd7b872d51d55ccd1a7717e28, 215049.481351886
0x37ac09e1640577e1d71e3787297a56b58f88f0f2, 213011.255945946
0xbe026ae67432efa9ad85b897a70e0bab0dcb1cea, 212666.38155241
0xa6910bbe603751e19a742154f0986efcf7c062a2, 279846.546382381
0xeb66a524cbc41999f142b4dcd49ce93e8cb050ae, 210083.834664485
0x55af604e03beb3457dd754d2f630eedda6a1fcef, 352409.229594597
0xfc3267cc1ead34059f43a70eda456b29d1d64214, 209360.176756571
0x5bcbaba9704f625bdb7eb1d8a3c305737916e6ff, 208329.511159462
0x65b064726fffff3b3667718d2264e84367be5141, 203983.026804593
0xc19ed1fa9fa3968fe12e97aa4d511ab6bce1320f, 241286.972122192
0xcbd9f0c0639fc515ef64835354935ef14fbf48a4, 200504.18556041
0x104ba5ab64e949e05ea77d398deb30d16c713b9d, 200415.39764401
0x2f5a662614b84f37f71f25e4f56b7562a0e71786, 199069.325677742
0x714be2aafd387bf46cf5b9d48d596a2b851e5681, 197216.696985201
0x68cdb7d616a0a2703044bdbc1fac5e03167ae7b0, 196627.35010488
0xa019b8ad2cc4b2de16e42cce83aecf8da5ca617f, 372926.517879825
0x297b84479d7a6fa254e13ff8af9a39a7b5d4d629, 193296.607816484
0x0ea41755ef53f8ecf448b0c19e05255f39e297ef, 194024.599245404
0xe476dec76e2cc238633d1e361b5a7155f46099a3, 191494.822427801
0x5952bab55191f8a815ccd8ba4945f7a09ef5def7, 340919.020127229
0xebc8c2e0b8c4040e18eabab8459621faf1f6513c, 188777.999652592
0x64368face21029a646d823c0afcbb4da08ce9b78, 393744.969514878
0x6c3c301bb3af46c86205844c7ad9ef8bd6593baf, 231989.678573165
0xe1452baea1efb49489cf642021c86480965c9e03, 195895.278141081
0x7911fa8d5bfce62ef68b714d5b51a65a5732b101, 185694.522661072
0x8581def657860bf58a5b0d6d2d357b51b81655b6, 182265.761304368
0x9f4d78366f3d67abc8a69b44823e4ecb8703ebd3, 322292.66512202
0x1a9836f6dcc253332ee707bd9808ab3d79d973d5, 318865.949503447
0x181a15c71a37b4b829477dfb7cf006f0493b6f86, 179129.705207558
0x821be125973279e5ce5eacf2f9360dcaa9cad53e, 210840.018640631
0x9cd75894548a8969e924f0b3af6bf8dc27612b71, 181074.882826716
0xbb8ade1a31a79422b425e876184724c209f78289, 177223.759639854
0xc8f64d227c715ae078d642c0e3a15d44fe7a48b1, 176867.67758612
0x1623273d676d1ea1c4cb5a85f2ca5f1c06c2de93, 174927.848927978
0x5f4d787692b0ab325df37e0b999c452d4561a8e6, 174669.765507457
0x3692854ae1ce9a91aa0db6888105b466c767e112, 171529.691758328
0xf09a845c973b8265c8519d503fa6097caab7f932, 261252.965890578
0x7d1b10577da49d490685f8105bee3fa7a82ced53, 169510.620321741
0x43dfcd47e7c5c0059840883d9adde4149c8c30ff, 169283.38458
0xe0a97dcd63aae03aca750ab5c058816fb6b48c50, 169283.38458
0x197b7dfee0edbda94d8e718378dfe569e9c22d42, 168976.87236333
0x7c895f59b8eb7fb88ce41bf03156650ac40e16f6, 167072.777276986
0x875733f4c30bff1fa1ecc78045cee4b8a15ff08e, 166827.735835413
0x5fddaf29681f3acd3ee5d88ef150f066b4db9890, 164858.141591501
0x0e90caa1ddf2184bfde42cb7daee3642f9ff54e4, 270002.775144848
0x6573948aef66b3eb45f35ab5c7516678f86d7cc2, 163454.665856858
0xb798def92b18861602f956d06fa5cb0bee47ebb0, 225893.551455644
0xb118fd9852ec6762ed38799cb43f0ad1f0d29a2e, 326358.291857063
0x1c93bda3bef1e486ff31c745278fc3dd0aadd6cc, 316374.789559204
0x3d2b23962ebcc882f9f65452658bbba9fa72d170, 169963.06561344
0xb44647814db8ada1b67e8240938d2a6bf77184ba, 158652.757311068
0x8922923059388a4488fa3b7c418bd059723bd37f, 158064.4822033
0x6fb2775c1424b5b10bd810be11f68274264a7e48, 199702.247368661
0xfd20125df89e8ffe237b5bca38acdf3cc54ad5b4, 310587.846099579
0x332df51fa1d8a2e83bcbd1069b771d9b632506e8, 156906.061901551
0xce08958266f58b638527b224d8b7141a3ff9c77e, 205344.581475961
0xea2f509cabc86e09e8b807258d3f9a5f72f0da11, 155967.34794677
0x029fcd8016fc878a674ff8d7302a541fda8945b7, 166776.627812731
0x6f199f00655e0d3e9c1f2b654570758ca1e33759, 155580.978369884
0xa756b300e0b546dbad3936d4b8fc9bfbdfe222e7, 202931.502351698
0x4d3a307aec8eeea1ac093b1b2f4dca8e23a064ca, 154566.322266185
0x98a529e3488c2d44566881feab335b17b1c3b430, 340291.92784833
0x7d3a0eaafe6cbf41bcf9c2f091065eac9098e0ef, 154427.72704429
0x06ac42915dafd5166505377713b849ad85b56a87, 154398.258577933
0xf4a2f32befe6ebe65bc2696969cd1c1a34e0f92c, 154443.880856737
0x5fb92b742bf451cf55dbc51781a621be9fd225b4, 153576.267483685
0x708b1ebc569d0b4d127ffd2ac5554efec032f0aa, 153386.803480474
0x776ef1f7692182426e98fd5f383e5ea10db5e397, 150722.989840244
0x574c5a477851536d8675a3aa5c76305c8b6ca2a1, 150067.432816865
0x523d0cd051e272856a2c925c08a5fba8425c4944, 175724.681716501
0x2ec9566fede31ef04d9a5d4ff9dbeaeab50c5273, 148452.034012697
0x02ce473377b650b1188778a7e75cd4b31f59d8ac, 148094.165624187
0x9695b507a59f00f2fd667525d9fa661ef0280308, 147432.530297552
0xd62c7913aa2b190ba54af680c92665c88d6f89b4, 145974.20263894
0xbea645da9c7f6de1f7e287759ccbfd5ab9f57c08, 145354.56869873
0x99298b15b5dda538c67f08af804d85e82450ce39, 169898.459062272
0x465fe8f2122966769b3d9d1e7391edf0ac08cb43, 145199.080418411
0xdaa8cb6ab1c9affcc012a5a023ef1b79f91c6297, 154487.12959723
0x645c22593c232ae78a7ecbac93b38cbac535ef12, 168531.809824631
0xcfaace98e68ca2e796ce396760515606fc6855ae, 155417.927237261
0xc283e7977583b2d17353bd17d01d953a770a5776, 140355.040746545
0x3096d872e1fcc96e5e55f43411971d49bb137b9b, 266366.378304001
0x1874281e2386d85617eab117259f2157334243db, 339024.987342614
0xf99c8873b972b4192e789f55ab954188d0d9a133, 165416.994367495
0xcc112a107abe98901b9efd9ac4880a143df48083, 139013.322292994
0xc817eff12fd883b20b9fd91df00b029390ec1ffb, 188454.886931463
0x15e20bf6f80f6ca69cdc6f03483e2d392860eed3, 139293.040004764
0x70b31325ec1eed59e2fefc4076f08c06c913940a, 177586.799691808
0x67ba1c914e6b3b396346a6498c1ef8e59802b1e9, 146532.626693237
0xe13a47718b9bfd9f74008068787827af3e5931b5, 136050.085167399
0x439ec0fe84620c097501d3eb6079b37204e446c9, 135028.180350759
0x304b3d778ada6d14387dba400d48ec5bb9eb689b, 160753.327916004
0xb9806d3a651eca707dcee20e9e82310754878fc4, 170600.996013664
0xb5d47d2e05401c21303903fda94285a05058808e, 217931.537131253
0xd18b8d61c160e779cefeb61d47600061007a6130, 133865.874773087
0xb5e0c5a26ed9cd9c1684fbb1138d5952c53349f8, 133644.7773
0xcc2e601f4e686366b7a0a581eae4d26b0768f4b2, 199828.973119724
0x44e8a67e451cafa616ae785940e9c4cd574ae3b4, 259569.870879445
0x6396a2ace5978c4fc9ba7ac3d2d3efb6b3055461, 133346.817704718
0x493409704ec5e2ed28fdad4f48638532228ac693, 6684.4851729657
0xe0a86afb73c0922a50d4a985a25507ecda8a9b51, 252909.078686765
0x69da58fff827b1cf91677b72b8fc515f61784762, 132483.159717252
0x8ea12bc08b5cb9e0d9a38c90d98b35afd966c3c5, 131570.069309099
0x6620b86ef016e3b9f57a9dbbc5f114311d4f8d28, 131537.082267708
0x528935b9889780e8ffe3b3abfb614d31718d9965, 131149.554272461
0x14fd7d24ebf81196dfd6d3af740d5024071859f8, 130734.228519211
0x380feff90198bc240e1c47d4e3c0b51391dd2d63, 129149.287321442
0xe66b290105f73dd5f38b25c7d4c86d2c5e5a37be, 155945.607904724
0xe57d3adcd6818b8e40bfcf4ead289afaf4d40b5b, 188438.292173294
0xe827c9485d095a82f427a4d1a54e781663da2de0, 163775.957710546
0x44af58e9ee170bff3f09b224110620dce521dbf7, 126597.602697569
0x1ee840962f7e8414092a25a216ec94d06e4600d5, 131979.18522108
0xa0f94a872d5736471d50a14cd65c81fe5bf27c79, 125987.279302555
0x9cab916493d31d1114a1d4f9a497aa886c1506e9, 125216.728281081
0xbb4d109c3dfe45ff30703bd2de43dba1c74caee6, 374645.501383654
0x6542fd1b7d7584f446b13564b0fe5214c8b85bf7, 125065.848156662
0xa13910b72ce4c31f08c84842ff0a707f1c4db389, 124914.721467843
0x42a82de905239e0c5e584e0c80d7a15825b9c190, 124847.633992216
0x7ece13f2fee7f2ff9cfb56b1f6d1ef2a787d68d7, 247979.171930371
0x3838c954d0629918578847378ee22e6778473239, 465470.122274985
